Type,Located In,Name,Slug,NAME YOUR FILE EXACTLY THIS,Current Image
CATEGORY,,Heating Solution,heating-solution,heating-solution.jpg,MISSING
PRODUCT,Heating Solution,Flexible Heaters & Insulations,flexible-heaters-insulations,flexible-heaters-insulations.jpg,/products/Flexible Heaters & Insulations.png
PRODUCT,Heating Solution,Industrial Heaters,industrial-heaters,industrial-heaters.jpg,/products/Industrial Heaters.png
PRODUCT,Heating Solution,Electrical Ovens,electrical-ovens,electrical-ovens.jpg,/products/Electrical Ovens.png
PRODUCT,Heating Solution,Electrical Furnace,electrical-furnace,electrical-furnace.jpg,/products/Electrical Furnace.png
PRODUCT,Heating Solution,Thermic Fluid Systems,thermic-fluid-systems,thermic-fluid-systems.jpg,/products/Thermic Fluid Systems.png
PRODUCT,Heating Solution,Hot Air Generator,hot-air-generator,hot-air-generator.jpg,/products/Hot Air Generator.png
CATEGORY,,Engineering Products,engineering-products,engineering-products.jpg,MISSING
CATEGORY,Engineering Products,Tube Fittings,tube-fittings,tube-fittings.jpg,/products/tube-fittings.png
PRODUCT,Engineering Products > Tube Fittings,Tube to Tube Unions,tube-to-tube-unions,tube-to-tube-unions.jpg,/products/tube-to-tube-unions.jpg
PRODUCT,Engineering Products > Tube Fittings,Tube to Male Pipe,tube-to-male-pipe,tube-to-male-pipe.jpg,/products/tube-to-male-pipe.jpg
PRODUCT,Engineering Products > Tube Fittings,Tube to Female Pipe,tube-to-female-pipe,tube-to-female-pipe.jpg,/products/tube-to-female-pipe.png
PRODUCT,Engineering Products > Tube Fittings,Components,components,components.jpg,/products/components.png
CATEGORY,Engineering Products,Pipe Fittings,pipe-fittings,pipe-fittings.jpg,/products/pipe-fittings.png
PRODUCT,Engineering Products > Pipe Fittings,Instrument Pipe Fittings,instrument-pipe-fittings,instrument-pipe-fittings.jpg,/products/instrument-pipe-fittings.png
PRODUCT,Engineering Products > Pipe Fittings,Socket Welded Forged Fittings,socket-welded-forged-fittings,socket-welded-forged-fittings.jpg,/products/socket-welded-forged-fittings.png
PRODUCT,Engineering Products > Pipe Fittings,Threaded Fittings,threaded-fittings,threaded-fittings.jpg,/products/threaded-fittings.png
PRODUCT,Engineering Products > Pipe Fittings,Nipples,nipples,nipples.jpg,/products/nipples.png
CATEGORY,Engineering Products,Valves,valves,valves.jpg,/products/valves.png
PRODUCT,Engineering Products > Valves,Needle Valves,needle-valves,needle-valves.jpg,MISSING
PRODUCT,Engineering Products > Valves,Ball Valves,ball-valves,ball-valves.jpg,/products/ball-valves.png
PRODUCT,Engineering Products > Valves,Gate Valves,gate-valves,gate-valves.jpg,/products/gate-valves.png
PRODUCT,Engineering Products > Valves,Globe Valves,globe-valves,globe-valves.jpg,/products/globe-valves.png
CATEGORY,Engineering Products,"Check, Relief & Quick Release Valves",check-relief-quick-release-valves,check-relief-quick-release-valves.jpg,/products/check-relief-quick-release-valves.png
PRODUCT,"Engineering Products > Check, Relief & Quick Release Valves",Non-Return Valves,non-return-valves,non-return-valves.jpg,/products/non-return-valves.png
PRODUCT,"Engineering Products > Check, Relief & Quick Release Valves",Pressure Relief Valves,pressure-relief-valves,pressure-relief-valves.jpg,/products/pressure-relief-valves.png
PRODUCT,"Engineering Products > Check, Relief & Quick Release Valves",Quick Release Couplings,quick-release-couplings,quick-release-couplings.jpg,/products/quick-release-couplings.png
CATEGORY,Engineering Products,Manifold Valves,manifold-valves,manifold-valves.jpg,/products/manifold-valves.png
PRODUCT,Engineering Products > Manifold Valves,2 Way Manifold Valves,2-way-manifold-valves,2-way-manifold-valves.jpg,/products/2-way-manifold-valves.png
PRODUCT,Engineering Products > Manifold Valves,3 Way Manifold Valves,3-way-manifold-valves,3-way-manifold-valves.jpg,/products/3-way-manifold-valves.png
PRODUCT,Engineering Products > Manifold Valves,5 Way Manifold Valves,5-way-manifold-valves,5-way-manifold-valves.jpg,/products/5-way-manifold-valves.png
CATEGORY,Engineering Products,Instrumentation Hardware,instrumentation-hardware,instrumentation-hardware.jpg,/products/instrumentation-hardware.png
PRODUCT,Engineering Products > Instrumentation Hardware,Air Headers,air-headers,air-headers.jpg,/products/air-headers.png
PRODUCT,Engineering Products > Instrumentation Hardware,Condensate Pots,condensate-pots,condensate-pots.jpg,/products/condensate-pots.png
PRODUCT,Engineering Products > Instrumentation Hardware,Syphons,syphons,syphons.jpg,/products/syphons.png
PRODUCT,Engineering Products,Sampling Bombs,sampling-bombs,sampling-bombs.jpg,/products/sampling-bombs.png
PRODUCT,Engineering Products,Flanges,flanges,flanges.jpg,/products/flanges.png
PRODUCT,Engineering Products,Tubes,tubes,tubes.jpg,/products/tubes.png
CATEGORY,Engineering Products,Hose Pipes,hose-pipes,hose-pipes.jpg,/products/hose-pipes.png
PRODUCT,Engineering Products > Hose Pipes,SFN (Secondary Fluid Network),sfn-secondary-fluid-network,sfn-secondary-fluid-network.jpg,/products/sfn-secondary-fluid-network.png
PRODUCT,Engineering Products > Hose Pipes,Corrugated Stainless Steel Hose,corrugated-stainless-steel-hose,corrugated-stainless-steel-hose.jpg,/products/corrugated-stainless-steel-hose.png
PRODUCT,Engineering Products > Hose Pipes,Corrugated Metal Hose Assemblies,corrugated-metal-hose-assemblies,corrugated-metal-hose-assemblies.jpg,/products/corrugated-metal-hose-assemblies.png
PRODUCT,Engineering Products > Hose Pipes,Stripwound Metal Hose,stripwound-metal-hose,stripwound-metal-hose.jpg,/products/stripwound-metal-hose.png
